log_line,severity
"FATAL: PostgreSQL replication slot replica_1 disconnected; primary unable to recover WAL position; data loss imminent",critical
"ERROR: payment gateway timeout after 30s; transaction txn_4421 rolled back; customer charged but order not created",critical
"ERROR: failed to write to audit log for security event 'admin_password_changed' user_id=88102; retried 3 times",critical
"SECURITY: 47 failed login attempts for user admin@example.com from IP 198.51.100.42 in last 60 seconds",critical
"FATAL: out of memory error; oom-killer terminated process pid=1234 (postgres); database cluster restarting",critical
"ALERT: SSL certificate for api.example.com expires in 2 hours; auto-renewal failed with ACME challenge timeout",critical
"ERROR: 500 Internal Server Error on POST /v1/orders/checkout — request_id=req_98a7b NullPointerException in OrderService.persistLineItems:142",error
"ERROR: connection refused while contacting redis://cache-primary:6379; falling back to local-memory cache",error
"ERROR: webhook delivery to https://customer.example.com/hooks failed after 5 retries — last status 502 Bad Gateway",error
"ERROR: schema migration 20240515_add_user_country failed: column 'country' already exists; rolling back",error
"ERROR: thumbnail generation failed for asset_id=99012 — ImagickException 'unable to open image': permission denied",error
"ERROR: cron job 'nightly_invoice_pdf_export' failed exit_code=137; killed after 1800s (timeout)",error
"WARN: response time p95 for /v1/search exceeds 800ms (threshold 500ms) over last 5 minutes",warning
"WARN: disk usage on /var/lib/postgresql at 87% (threshold 80%); auto-vacuum may degrade",warning
"WARN: connection pool 'orders_db' utilization 92%; saturating soon — scale_factor=1 vs target 1.3",warning
"WARN: TLS handshake retry to upstream auth-service took 4 attempts before succeeding",warning
"WARN: cache hit rate on 'product_catalog' dropped to 41% (24h avg 78%); investigate cache invalidation",warning
"WARN: deprecated API version v1 used by client User-Agent 'PartnerBot/2.1' from IP 203.0.113.17 — sunsets in 30 days",warning
"WARN: feature flag 'experimental_checkout' is enabled for 3% of traffic but error rate is 2.4x baseline",warning
"WARN: queue depth on 'email_dispatch' = 4,200 (threshold 1,000); consumers may be falling behind",warning
"INFO: user_id=42118 logged in via SSO provider=okta",info
"INFO: deployment service=api version=2024.05.21.103412 commit=a7b3c2d completed successfully in 247s",info
"INFO: scheduled backup of database 'orders' to s3://acme-backups/orders/2024-05-21.dump completed; size=4.2GB",info
"INFO: webhook https://customer.example.com/hooks delivered for event_id=evt_77231 status=200 latency=143ms",info
"INFO: cron job 'daily_user_export' completed — exported 12,481 rows in 3m12s",info
"INFO: invoice INV-9921 generated for customer cus_4422; total $487.50 USD; emailed to billing@acme.co",info
"INFO: feature flag 'new_dashboard' evaluation request_id=req_88x42 user_id=33772 returned variant=control",info
"INFO: cache 'session_store' resized from 256MB to 512MB based on recent memory pressure",info
"INFO: serving HTTP 200 GET /v1/health from instance api-pod-7c9 latency=2ms",noise
"DEBUG: middleware 'request-id' attached request_id=req_abcd1234 to incoming /v1/products call",noise
"DEBUG: cache hit key=product:90211 ttl_remaining=43s",noise
"GET /healthz 200 OK 1ms",noise
"DEBUG: established connection to db replica replica_2 in 4ms",noise
"INFO: liveness probe responded 200 in 1ms",noise
"OK: kubernetes liveness check at /health on pod billing-api-5d returned 200",noise
"DEBUG: SQL query SELECT 1 executed in 0.4ms on connection 19",noise
"DEBUG: parsed JSON body for incoming request; size=212 bytes",noise
"FATAL: filesystem '/data' read-only; database refuses writes; CONNECTION_REFUSED on all new writes",critical
"ERROR: failed to encrypt customer PII for user_id=55102 — KMS key 'pii-2024' is in PendingDeletion state",critical
"ERROR: rate limit exceeded on /v1/auth/login for IP 192.0.2.34 — 412 requests in 60s (limit 60)",error
"ERROR: GraphQL resolver 'ordersByUser' threw TypeError: Cannot read property 'total' of undefined",error
"ERROR: failed to publish to kafka topic 'order-events' partition=3 — NotLeaderForPartitionException",error
"WARN: certificate transparency log shows new cert for *.example.com issued by unfamiliar CA 'XYZ Trust' — verify intentional",warning
"WARN: feature 'webhook-signatures' enabled but 12% of inbound webhooks lack the expected X-Signature header",warning
"WARN: garbage collection pause of 1.8s observed on JVM pid=4421 — exceeds 1s SLO",warning
"INFO: cache 'product_catalog' warmup completed in 6.4s after deployment",info
"INFO: rate limit window reset for IP 198.51.100.5 after 5-minute cooldown",info
"INFO: A/B test 'checkout_v2_button' opened; 50/50 split between control and variant-A",info
"INFO: cron job 'compute_daily_dau' started at 00:05 UTC",info
"DEBUG: middleware 'auth-extract' parsed JWT for sub=user_42118 exp=1716345600",noise
"DEBUG: handler /v1/me responded in 6ms with cache_hit=true",noise
"INFO: prometheus scrape from 10.0.1.42 completed in 18ms",noise
"GET /metrics 200 8ms",noise
"OK: readiness probe pass on pod search-api-12b at 14:22:01.412Z",noise
"DEBUG: trace id span 0xabc123 closed; total spans=14",noise
"ERROR: GDPR data subject deletion request for user_id=12001 failed mid-way — partial-delete state recorded; manual cleanup required",critical
"ERROR: stripe webhook signature mismatch on event evt_77231; possible replay attack; rejected",critical
"WARN: latency for /v1/api/products has been climbing — p50 went from 30ms to 220ms over 30 minutes",warning
"INFO: nightly model retraining pipeline kicked off — experiment_id=exp_4421",info
"DEBUG: connection pool 'cache' acquired in 0.2ms",noise
"INFO: customer cus_99001 upgraded from plan=free to plan=pro",info
"WARN: outbound DNS lookups to internal-only domain *.local resolved via public resolver 8.8.8.8 — DNS leak suspected",warning
"ERROR: TypeError in /v1/orders/replay: orders.map is not a function (orders=null)",error
"ERROR: container OOMKilled — pod=worker-7b6 memory limit=2Gi observed=2.1Gi",error
"DEBUG: scheduled task 'sweep_expired_sessions' processed 142 sessions in 4ms",noise
