question,answer
How do I reset my password?,"Open Settings → Security and click ""Reset password"". You'll get an email with a one-time link within a minute. Links expire after 15 minutes."
Where can I download my invoice?,"Invoices live under Billing → History. Click any row to open the PDF, or use the ""Download all"" button to grab a zip of the last 12 months."
How do I add a teammate?,"Go to Settings → Team and click ""Invite member"". Pick their role (Owner, Editor, Viewer) and send the invite. They'll get an email with a sign-up link."
Can I change my plan mid-month?,"Yes. Open Billing → Plan and pick a new tier. Upgrades are pro-rated immediately. Downgrades take effect at the end of the current cycle."
Why am I getting a 401 from the API?,"401 means the API key is missing, malformed, or revoked. Check Settings → API Keys to confirm the key is active and copy the latest value. If it's still failing, regenerate."
How do I export my data?,"Open Settings → Export and click ""Request export"". You'll receive an email with a download link when the zip is ready, usually within 5 minutes for small accounts."
The dashboard isn't loading. What should I check?,"First refresh the page; intermittent CDN issues sometimes cause a blank screen. If it persists, open status.example.com to confirm there's no incident. Still stuck? Open a support ticket."
How do I revoke an API key?,"Settings → API Keys → click the row → ""Revoke"". The key stops working immediately. Generate a replacement in the same view."
Can I have two users share the same email?,"No. Each account is keyed on a unique email address. To share access, invite the second person as a teammate with their own email."
What's the rate limit on the public API?,"60 requests per minute for free accounts, 600/min for Pro, 6000/min for Enterprise. The 429 response includes a Retry-After header."
How do I enable two-factor auth?,"Settings → Security → ""Enable 2FA"". Scan the QR code with an authenticator app (1Password, Authy, Google Authenticator). Save the backup codes somewhere safe."
Why don't I see the Reports tab?,"The Reports tab is only visible to Pro and Enterprise plans. If you've just upgraded, log out and back in to refresh your session permissions."
Can I cancel anytime?,"Yes. Settings → Billing → ""Cancel subscription"". Your account stays active until the end of the current billing period; we don't pro-rate the unused portion on cancel."
How do I delete my account?,"Settings → Account → ""Delete account"". This permanently removes your data within 30 days. Export anything you need first; we can't recover deleted accounts."
Is my data encrypted?,"Yes. Data at rest is encrypted with AES-256 and data in transit uses TLS 1.3. The full security overview is at example.com/security."
How do I change the email on my account?,"Settings → Account → ""Email address"" → enter the new one. You'll get a verification email at the new address; the change applies once you confirm."
Can I use single sign-on?,"SSO via OIDC and SAML is available on the Enterprise plan. Contact sales to enable it for your workspace."
Why didn't my webhook fire?,"Check Settings → Webhooks → click the endpoint → ""Recent deliveries"". Failed deliveries show the response code and body. We retry 4× over 24 hours with exponential backoff."
How do I import data from a CSV?,"Open the Datasets tab → ""Upload"" → drag the CSV. The importer maps columns automatically; you can rename fields on the preview screen before confirming."
What's included in the free trial?,"Free trial is 14 days of the Pro plan: unlimited datasets, 5 active projects, 600 API requests/min. No credit card required to start."
