text,entities_json
"In no event shall the Company's aggregate liability exceed the fees paid by the Customer in the twelve (12) months preceding the claim. This Agreement shall be governed by the laws of the State of Delaware.","[{""type"": ""liability_cap"", ""start"": 32, ""end"": 130, ""text"": ""aggregate liability exceed the fees paid by the Customer in the twelve (12) months preceding the claim""}, {""type"": ""governing_law"", ""start"": 158, ""end"": 207, ""text"": ""governed by the laws of the State of Delaware""}]"
"Either party may terminate this Agreement for material breach upon thirty (30) days' written notice if the breach remains uncured. Any disputes arising hereunder shall be resolved by binding arbitration in San Francisco, California.","[{""type"": ""termination"", ""start"": 0, ""end"": 130, ""text"": ""Either party may terminate this Agreement for material breach upon thirty (30) days' written notice if the breach remains uncured""}, {""type"": ""dispute_resolution"", ""start"": 132, ""end"": 233, ""text"": ""Any disputes arising hereunder shall be resolved by binding arbitration in San Francisco, California""}]"
"Customer shall pay all invoices within thirty (30) days of receipt via wire transfer in US Dollars. Late payments accrue interest at the lesser of 1.5% per month or the maximum rate permitted by law.","[{""type"": ""payment_terms"", ""start"": 0, ""end"": 199, ""text"": ""Customer shall pay all invoices within thirty (30) days of receipt via wire transfer in US Dollars. Late payments accrue interest at the lesser of 1.5% per month or the maximum rate permitted by law""}]"
"Each party agrees to maintain in strict confidence all Confidential Information disclosed by the other party for a period of five (5) years following termination of this Agreement.","[{""type"": ""confidentiality"", ""start"": 0, ""end"": 180, ""text"": ""Each party agrees to maintain in strict confidence all Confidential Information disclosed by the other party for a period of five (5) years following termination of this Agreement""}]"
"Service Provider shall indemnify, defend, and hold harmless Customer from any third-party claims arising from Service Provider's gross negligence or willful misconduct.","[{""type"": ""indemnification"", ""start"": 0, ""end"": 167, ""text"": ""Service Provider shall indemnify, defend, and hold harmless Customer from any third-party claims arising from Service Provider's gross negligence or willful misconduct""}]"
"All intellectual property rights in Work Product created by Contractor under this Agreement shall vest exclusively in Client upon payment in full.","[{""type"": ""ip_assignment"", ""start"": 0, ""end"": 146, ""text"": ""All intellectual property rights in Work Product created by Contractor under this Agreement shall vest exclusively in Client upon payment in full""}]"
"This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Massachusetts, without regard to its conflict-of-laws provisions.","[{""type"": ""governing_law"", ""start"": 0, ""end"": 166, ""text"": ""This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Massachusetts, without regard to its conflict-of-laws provisions""}]"
"The exclusive jurisdiction and venue for any dispute arising out of this Agreement shall be the state and federal courts located in New York County, New York.","[{""type"": ""jurisdiction"", ""start"": 0, ""end"": 158, ""text"": ""The exclusive jurisdiction and venue for any dispute arising out of this Agreement shall be the state and federal courts located in New York County, New York""}]"
"Vendor warrants that the Services will materially conform to the documentation for a period of ninety (90) days from delivery. Vendor's sole obligation for breach of this warranty is to re-perform the non-conforming Services.","[{""type"": ""warranty"", ""start"": 0, ""end"": 224, ""text"": ""Vendor warrants that the Services will materially conform to the documentation for a period of ninety (90) days from delivery. Vendor's sole obligation for breach of this warranty is to re-perform the non-conforming Services""}]"
"This Agreement shall commence on the Effective Date and continue for an initial term of two (2) years, renewing automatically for successive one-year terms unless either party provides written notice of non-renewal at least sixty (60) days prior to the end of the then-current term.","[{""type"": ""termination"", ""start"": 0, ""end"": 281, ""text"": ""This Agreement shall commence on the Effective Date and continue for an initial term of two (2) years, renewing automatically for successive one-year terms unless either party provides written notice of non-renewal at least sixty (60) days prior to the end of the then-current term""}]"
"The Receiving Party shall not disclose Confidential Information to any third party except its employees, contractors, and advisors who have a need to know and are bound by confidentiality obligations no less restrictive than those herein.","[{""type"": ""confidentiality"", ""start"": 0, ""end"": 238, ""text"": ""The Receiving Party shall not disclose Confidential Information to any third party except its employees, contractors, and advisors who have a need to know and are bound by confidentiality obligations no less restrictive than those herein""}]"
"Notwithstanding anything to the contrary, in no event shall either party be liable for indirect, incidental, special, consequential, or punitive damages, including loss of profits, revenue, or data.","[{""type"": ""liability_cap"", ""start"": 0, ""end"": 199, ""text"": ""Notwithstanding anything to the contrary, in no event shall either party be liable for indirect, incidental, special, consequential, or punitive damages, including loss of profits, revenue, or data""}]"
"Customer shall pay the Subscription Fees set forth in Exhibit A on a quarterly basis, in advance, by ACH transfer. The Subscription Fees are non-refundable except as expressly provided herein.","[{""type"": ""payment_terms"", ""start"": 0, ""end"": 192, ""text"": ""Customer shall pay the Subscription Fees set forth in Exhibit A on a quarterly basis, in advance, by ACH transfer. The Subscription Fees are non-refundable except as expressly provided herein""}]"
"Any controversy arising under this Agreement that cannot be resolved through good-faith negotiation within sixty (60) days shall be referred to mediation under the rules of JAMS in San Francisco, and if mediation fails, to binding arbitration.","[{""type"": ""dispute_resolution"", ""start"": 0, ""end"": 242, ""text"": ""Any controversy arising under this Agreement that cannot be resolved through good-faith negotiation within sixty (60) days shall be referred to mediation under the rules of JAMS in San Francisco, and if mediation fails, to binding arbitration""}]"
"The terms of Sections 7 (Confidentiality), 9 (Indemnification), and 11 (Limitation of Liability) shall survive any termination or expiration of this Agreement.","[{""type"": ""confidentiality"", ""start"": 22, ""end"": 35, ""text"": ""Confidentiality""}, {""type"": ""indemnification"", ""start"": 41, ""end"": 56, ""text"": ""Indemnification""}, {""type"": ""liability_cap"", ""start"": 63, ""end"": 87, ""text"": ""Limitation of Liability""}]"
"Each party shall indemnify the other against losses arising from its own breach of representations, fraud, or violation of applicable data-protection law.","[{""type"": ""indemnification"", ""start"": 0, ""end"": 154, ""text"": ""Each party shall indemnify the other against losses arising from its own breach of representations, fraud, or violation of applicable data-protection law""}]"
"Vendor's total cumulative liability arising out of or related to this Agreement shall not exceed the total amount actually paid by Customer to Vendor under this Agreement in the six (6) months preceding the event giving rise to the claim.","[{""type"": ""liability_cap"", ""start"": 0, ""end"": 238, ""text"": ""Vendor's total cumulative liability arising out of or related to this Agreement shall not exceed the total amount actually paid by Customer to Vendor under this Agreement in the six (6) months preceding the event giving rise to the claim""}]"
"This Agreement may be terminated by Customer at any time for convenience upon thirty (30) days' written notice; provided that Customer shall pay all fees accrued through the effective date of termination.","[{""type"": ""termination"", ""start"": 0, ""end"": 111, ""text"": ""This Agreement may be terminated by Customer at any time for convenience upon thirty (30) days' written notice""}, {""type"": ""payment_terms"", ""start"": 113, ""end"": 205, ""text"": ""provided that Customer shall pay all fees accrued through the effective date of termination""}]"
"All work product, including without limitation reports, code, designs, and deliverables created by Consultant under this Statement of Work is hereby assigned to Client and shall be the sole and exclusive property of Client.","[{""type"": ""ip_assignment"", ""start"": 0, ""end"": 223, ""text"": ""All work product, including without limitation reports, code, designs, and deliverables created by Consultant under this Statement of Work is hereby assigned to Client and shall be the sole and exclusive property of Client""}]"
"Vendor disclaims all warranties, express or implied, including warranties of merchantability, fitness for a particular purpose, and non-infringement, to the maximum extent permitted by law.","[{""type"": ""warranty"", ""start"": 0, ""end"": 189, ""text"": ""Vendor disclaims all warranties, express or implied, including warranties of merchantability, fitness for a particular purpose, and non-infringement, to the maximum extent permitted by law""}]"
"This Agreement shall be governed by the laws of the State of California, and the parties consent to the exclusive jurisdiction of the state and federal courts located in San Francisco County for any matter not subject to arbitration.","[{""type"": ""governing_law"", ""start"": 0, ""end"": 71, ""text"": ""This Agreement shall be governed by the laws of the State of California""}, {""type"": ""jurisdiction"", ""start"": 81, ""end"": 233, ""text"": ""the parties consent to the exclusive jurisdiction of the state and federal courts located in San Francisco County for any matter not subject to arbitration""}]"
"Invoices are payable net 60 days from the date of invoice. Customer may dispute an invoice in writing within thirty (30) days of receipt; undisputed amounts must be paid in accordance with this Section.","[{""type"": ""payment_terms"", ""start"": 0, ""end"": 201, ""text"": ""Invoices are payable net 60 days from the date of invoice. Customer may dispute an invoice in writing within thirty (30) days of receipt; undisputed amounts must be paid in accordance with this Section""}]"
"The parties agree that any breach of the confidentiality obligations of this Section would cause irreparable harm for which monetary damages would be inadequate, and the non-breaching party shall be entitled to seek injunctive relief.","[{""type"": ""confidentiality"", ""start"": 0, ""end"": 234, ""text"": ""The parties agree that any breach of the confidentiality obligations of this Section would cause irreparable harm for which monetary damages would be inadequate, and the non-breaching party shall be entitled to seek injunctive relief""}]"
"Either party may terminate this Agreement immediately upon written notice if the other party becomes insolvent, files for bankruptcy, or makes an assignment for the benefit of creditors.","[{""type"": ""termination"", ""start"": 0, ""end"": 186, ""text"": ""Either party may terminate this Agreement immediately upon written notice if the other party becomes insolvent, files for bankruptcy, or makes an assignment for the benefit of creditors""}]"
"Service Provider warrants for thirty (30) days following delivery that the Services will be performed in a professional and workmanlike manner consistent with industry standards.","[{""type"": ""warranty"", ""start"": 0, ""end"": 178, ""text"": ""Service Provider warrants for thirty (30) days following delivery that the Services will be performed in a professional and workmanlike manner consistent with industry standards""}]"
"Any inventions, discoveries, or improvements conceived solely by an employee of either party during the Term shall remain the sole property of that party; jointly developed inventions shall be jointly owned with mutual licensing rights.","[{""type"": ""ip_assignment"", ""start"": 0, ""end"": 236, ""text"": ""Any inventions, discoveries, or improvements conceived solely by an employee of either party during the Term shall remain the sole property of that party; jointly developed inventions shall be jointly owned with mutual licensing rights""}]"
"All disputes shall first be referred to good-faith executive negotiation. If unresolved within thirty (30) days, disputes shall be submitted to binding arbitration administered by the American Arbitration Association.","[{""type"": ""dispute_resolution"", ""start"": 0, ""end"": 217, ""text"": ""All disputes shall first be referred to good-faith executive negotiation. If unresolved within thirty (30) days, disputes shall be submitted to binding arbitration administered by the American Arbitration Association""}]"
"Vendor shall defend Customer against any third-party claim alleging that the Services infringe a valid US patent, copyright, or trade secret, and shall pay damages and reasonable attorneys' fees awarded against Customer.","[{""type"": ""indemnification"", ""start"": 0, ""end"": 219, ""text"": ""Vendor shall defend Customer against any third-party claim alleging that the Services infringe a valid US patent, copyright, or trade secret, and shall pay damages and reasonable attorneys' fees awarded against Customer""}]"
"This Master Services Agreement is governed by Texas law. Any disputes shall be litigated exclusively in the state or federal courts located in Travis County, Texas.","[{""type"": ""governing_law"", ""start"": 0, ""end"": 55, ""text"": ""This Master Services Agreement is governed by Texas law""}, {""type"": ""jurisdiction"", ""start"": 57, ""end"": 164, ""text"": ""Any disputes shall be litigated exclusively in the state or federal courts located in Travis County, Texas""}]"
"Customer shall not, and shall not permit any third party to, reverse-engineer, decompile, or attempt to derive the source code of the Software, except to the extent expressly permitted by applicable law.","[{""type"": ""confidentiality"", ""start"": 0, ""end"": 203, ""text"": ""Customer shall not, and shall not permit any third party to, reverse-engineer, decompile, or attempt to derive the source code of the Software, except to the extent expressly permitted by applicable law""}]"
"The fees set forth in this Order Form are exclusive of all taxes, duties, levies, or similar charges, all of which shall be the responsibility of Customer.","[{""type"": ""payment_terms"", ""start"": 0, ""end"": 155, ""text"": ""The fees set forth in this Order Form are exclusive of all taxes, duties, levies, or similar charges, all of which shall be the responsibility of Customer""}]"
"In the event of any conflict between the body of this Agreement and any Exhibit, the body of the Agreement shall control unless the Exhibit expressly provides otherwise.","[]"
"Customer hereby grants Vendor a non-exclusive, royalty-free license to use Customer's name and logo solely to identify Customer as a customer of Vendor on Vendor's website and marketing materials.","[{""type"": ""ip_assignment"", ""start"": 0, ""end"": 196, ""text"": ""Customer hereby grants Vendor a non-exclusive, royalty-free license to use Customer's name and logo solely to identify Customer as a customer of Vendor on Vendor's website and marketing materials""}]"
"Notices required or permitted under this Agreement shall be in writing and delivered by certified mail, overnight courier, or email to the addresses set forth on the signature page.","[]"
