question,answer
"How much PTO do I accrue per month as a new hire?","Summary: New hires accrue PTO at 1.25 days per month for the first year, totaling 15 days annually. Policy: HR-PTO §2.1 — accrual begins on day one of employment. Escalate to: People Ops for prior-balance transfers or sabbatical questions."
"Can I use my personal laptop to access company Slack?","Summary: No — personal devices may not access internal Slack workspaces. Policy: InfoSec-Device §4.3 — only company-issued or MDM-enrolled devices can connect to corporate SaaS. Escalate to: IT Help Desk for a BYOD exception or expedited laptop provisioning."
"Do I need approval to take a phone call from a journalist about our products?","Summary: Yes — all media inquiries must be routed to Comms before responding. Policy: Comms-Media §1.2 — no employee may speak on behalf of the company without prior approval. Escalate to: comms@example.com immediately; do not respond to the journalist directly."
"What's the policy on using ChatGPT for work tasks?","Summary: Approved for non-sensitive tasks via the corporate ChatGPT Enterprise tenant only. Policy: InfoSec-GenAI §3 — public LLMs (free or personal accounts) may not receive customer data, source code, or unpublished business plans. Escalate to: ai-governance@example.com for new-use-case review."
"Am I allowed to expense an Uber to the office?","Summary: No — daily commute is not reimbursable. Policy: Finance-Expense §5.1 — local commute (home-to-office) is an employee expense; off-hours business travel and client visits remain reimbursable. Escalate to: your manager or finance@example.com for exceptions."
"How do I report a security incident I noticed in production?","Summary: Page the on-call security engineer immediately via PagerDuty; do not Slack-DM. Policy: InfoSec-IR §1.1 — all suspected incidents follow the documented IR pathway within fifteen (15) minutes of detection. Escalate to: security-oncall@example.com (paged via the IR runbook)."
"Can I share my access badge with a contractor for one day?","Summary: No — physical access badges are non-transferable. Policy: Facilities-Access §2.4 — every visitor or contractor must be sponsored and badged separately. Escalate to: facilities@example.com to issue a day pass."
"How long do I need to retain customer-support emails?","Summary: Customer-support correspondence is retained for seven (7) years from the date of the closing message. Policy: Records-Retention §4.2 — applies to all customer-facing email, including spam-filtered messages once classified. Escalate to: legal@example.com before deleting any flagged or litigation-hold thread."
"Is it ok to bring my dog to the SF office?","Summary: Yes for the SF office (Tuesdays and Thursdays only) with prior registration. Policy: Workplace-Pets §1 — pets must be on a leash, current on vaccinations, and approved via the pet-roster form. Escalate to: office-sf@example.com to register a new pet."
"What's the parental leave policy for adoptive parents?","Summary: Adoptive parents receive sixteen (16) weeks of fully paid leave, identical to birthing parents. Policy: Benefits-Leave §6.3 — eligibility requires six (6) months of continuous employment prior to the adoption placement date. Escalate to: People Ops for placement-date paperwork."
"Can I post a photo of my office whiteboard to Twitter?","Summary: No — whiteboards routinely contain pre-release or sensitive content. Policy: InfoSec-DataClassification §2.2 — internal-only artifacts may not be photographed for external sharing. Escalate to: comms@example.com if you want a blurred version reviewed for public posting."
"Do I need to take vacation days for jury duty?","Summary: No — jury duty is paid leave separate from PTO. Policy: HR-Leave §3.5 — submit the jury summons to People Ops; pay continues at regular salary for up to ten (10) business days. Escalate to: People Ops if your jury service extends beyond ten days."
"How do I get reimbursed for an internet bill while working remotely?","Summary: Up to $50/month is reimbursable as a home-office stipend. Policy: Finance-Remote §2 — full-time remote employees may submit one bill per month; receipts must show the billing address matches HR records. Escalate to: finance@example.com for hybrid-employee proration."
"What's the procedure for terminating a contractor's access?","Summary: Manager opens a JIRA ticket in IT-Offboarding; access is revoked across all systems within four (4) business hours. Policy: InfoSec-Offboarding §1.4 — covers SSO, repo permissions, VPN, and physical access. Escalate to: it-offboarding@example.com if any system is missed."
"Can I accept a $200 gift from a vendor?","Summary: Decline or escalate — anything above $100 from an active or prospective vendor requires written approval. Policy: Ethics-Gifts §2 — covers meals, swag, conference passes, and event tickets. Escalate to: compliance@example.com with vendor name and gift description before accepting."
"Am I covered if I work from a coffee shop in another country for two weeks?","Summary: Up to ten (10) consecutive business days of international remote work is permitted in pre-approved countries. Policy: HR-Remote-Travel §3.1 — submit a request via the travel-notify form at least seven (7) days in advance. Escalate to: People Ops for stays longer than ten days or in non-approved jurisdictions."
"What's the policy on storing customer PII in spreadsheets?","Summary: Prohibited — customer PII must remain in the canonical CRM with field-level access controls. Policy: InfoSec-DataHandling §4 — spreadsheets are not an approved store for any PII class. Escalate to: data-governance@example.com if you need a query export for an audit."
"Can I deploy to production at 5pm on a Friday?","Summary: Only with explicit on-call manager approval; routine deploys are frozen Fridays after 3pm local time. Policy: Engineering-Releases §5.2 — applies to all production-impacting changes including infra and config. Escalate to: release-managers@example.com for hotfix exceptions."
"Where do I file a harassment complaint?","Summary: File via the People Ops complaints channel; an HR business partner responds within one (1) business day. Policy: HR-Conduct §1.1 — all complaints are confidential and protected against retaliation. Escalate to: ethics-hotline@example.com (third-party administered) if you prefer external reporting."
"Do I need NDA before showing a candidate our codebase?","Summary: Yes — every candidate must sign the standard candidate NDA before any code review or demo. Policy: Legal-NDAs §2 — the candidate-NDA template is available via the recruiting toolbox. Escalate to: recruiting-ops@example.com if the candidate proposes redlines."
"What's the company position on cryptocurrency payments to contractors?","Summary: Not currently permitted — all contractor payments must clear through approved corporate banking. Policy: Finance-Payments §1.3 — applies regardless of contractor jurisdiction or payment-platform availability. Escalate to: finance@example.com if a contractor specifically requires non-USD or DeFi rails."
"Can I delete a Slack message that contains a typo with someone's name?","Summary: Slack messages older than seven (7) days are immutable for retention reasons; recent messages may be edited but not deleted. Policy: Records-Retention §5.4 — applies to DMs and channels. Escalate to: it-help@example.com for legitimate redaction needs."
"How do I get an OSS license approved for a new dependency?","Summary: Submit the package + license to the OSS-review JIRA queue; review SLA is two (2) business days. Policy: Legal-OSS §1 — copyleft licenses (GPL, AGPL) require additional sign-off; permissive licenses (MIT, Apache 2.0, BSD) are typically auto-approved. Escalate to: oss-review@example.com for blocked or expedited requests."
"What do I do if I accidentally CC'd a customer on an internal-only thread?","Summary: Immediately reply-all with a recall request, notify your manager, and file a P3 incident in the privacy queue. Policy: InfoSec-DataLeak §3.2 — the privacy team determines whether GDPR Article 33 notification is triggered. Escalate to: privacy@example.com within fifteen (15) minutes of discovery."
"Can I work a second job at another tech company?","Summary: Yes for non-competing roles after written manager + HR approval. Policy: HR-OutsideEmployment §2 — competing roles in our defined market segment are prohibited; non-tech side income (teaching, consulting in unrelated fields) generally does not require approval. Escalate to: People Ops with the outside-employment form."
"What's the policy on sharing screenshots of our admin dashboard externally?","Summary: Prohibited — admin dashboards contain customer identifiers and pricing data. Policy: InfoSec-DataClassification §2.3 — only sanitized mock data may appear in external materials. Escalate to: comms@example.com for marketing-asset screenshots; security@example.com for any accidental exposure."
"Do I need to retain my draft documents in Google Drive forever?","Summary: No — drafts older than ninety (90) days that are not under litigation hold may be deleted. Policy: Records-Retention §4.4 — applies to personal drafts in Drive and Notes; collaborative team docs follow stricter retention. Escalate to: legal@example.com if a draft is associated with an open matter."
"How should I respond to a LinkedIn connection request from a competitor's recruiter?","Summary: Connecting is fine; do not share internal information or accept calls without notifying your manager. Policy: HR-Conduct §3.7 — outside recruiting outreach is allowed; disclosure of internal plans is not. Escalate to: People Ops if you receive a formal offer or non-public information request."
"What's the policy on AI-generated code in our repos?","Summary: Permitted for clearly-marked snippets in non-customer-facing tooling; production paths require human review and CI-passing tests. Policy: Engineering-AICode §1 — every AI-generated function must include an author comment and pass standard PR review. Escalate to: ai-governance@example.com for full-file generation review."
