text,label
"Battery life is excellent — I get a full day on a single charge.",positive
"Works fine but nothing special. Build quality feels average.",neutral
"Stopped charging after two weeks. Completely useless.",negative
"Absolutely love the keyboard feel. Best purchase this year.",positive
"It's okay. Does what it says on the box.",neutral
"The app crashes every time I try to sync. Very frustrating.",negative
"Setup took 5 minutes and it just works. Highly recommend.",positive
"Audio quality is fine, headphones themselves are nothing to write home about.",neutral
"Returned after one day. The display has visible dead pixels right out of the box.",negative
"Picture quality is stunning. Worth every penny.",positive
"Decent product for the price. Not amazing, not terrible.",neutral
"Customer service was awful. Took three weeks to get a response.",negative
"This little speaker is incredible — fills the entire room with sound.",positive
"Mediocre build quality. The plastic feels cheap.",neutral
"DOA. Wouldn't turn on at all. Sent it back the same day.",negative
"Honestly the best chair I've ever owned. Lumbar support is perfect.",positive
"Average experience. Wouldn't buy again but wouldn't return.",neutral
"App is a complete mess. Lost all my data after the last update.",negative
"Bought one for my mom and she's been raving about it ever since.",positive
"Fairly basic. Does the job for casual use, nothing more.",neutral
"Stopped working after a month. Total waste of money.",negative
"The performance is unbelievable. Loads everything instantly.",positive
"Looks fine, works fine. Not memorable in any way.",neutral
"Battery dies in two hours. Completely unusable for travel.",negative
"Great little gadget. Use it every day, never had an issue.",positive
"Build feels solid enough but the software is buggy at times.",neutral
"Worst purchase in years. Returning immediately.",negative
"Honestly impressed by how much value you get at this price point.",positive
"Acceptable for a budget option. Don't expect premium feel.",neutral
"Microphone barely picks up audio. Useless for calls.",negative
