request,tool_call
"Tools: search_docs(query), open_ticket(title, severity), get_weather(city). Request: It's broken again — can you file a P1?","{""tool"": ""open_ticket"", ""args"": {""title"": ""It's broken again"", ""severity"": ""P1""}}"
"Tools: search_docs(query), open_ticket(title, severity), get_weather(city). Request: What's the wind speed in Tokyo right now?","{""tool"": ""get_weather"", ""args"": {""city"": ""Tokyo""}}"
"Tools: search_docs(query), open_ticket(title, severity), get_weather(city). Request: How do I rotate an API key?","{""tool"": ""search_docs"", ""args"": {""query"": ""rotate an API key""}}"
"Tools: search_docs(query), open_ticket(title, severity), get_weather(city). Request: Hi, just saying thanks for yesterday's help.","{""tool"": ""none"", ""args"": {}}"
"Tools: send_email(to, subject, body), create_calendar_event(title, when, attendees), lookup_contact(name). Request: Email alice@example.com that the deck is ready.","{""tool"": ""send_email"", ""args"": {""to"": ""alice@example.com"", ""subject"": ""Deck is ready"", ""body"": ""Hi Alice — the deck is ready for your review.""}}"
"Tools: send_email(to, subject, body), create_calendar_event(title, when, attendees), lookup_contact(name). Request: Block 30 min on my calendar tomorrow at 2pm for design review with Bob and Carol.","{""tool"": ""create_calendar_event"", ""args"": {""title"": ""Design review"", ""when"": ""tomorrow 2pm"", ""attendees"": [""Bob"", ""Carol""]}}"
"Tools: send_email(to, subject, body), create_calendar_event(title, when, attendees), lookup_contact(name). Request: Who is the VP of Engineering?","{""tool"": ""lookup_contact"", ""args"": {""name"": ""VP of Engineering""}}"
"Tools: send_email(to, subject, body), create_calendar_event(title, when, attendees), lookup_contact(name). Request: Show me a poem about clouds.","{""tool"": ""none"", ""args"": {}}"
"Tools: query_db(sql), restart_service(name), tail_logs(service, lines). Request: How many active users do we have right now?","{""tool"": ""query_db"", ""args"": {""sql"": ""SELECT COUNT(*) FROM users WHERE active = true""}}"
"Tools: query_db(sql), restart_service(name), tail_logs(service, lines). Request: Bounce the auth-api service please.","{""tool"": ""restart_service"", ""args"": {""name"": ""auth-api""}}"
"Tools: query_db(sql), restart_service(name), tail_logs(service, lines). Request: Show me the last 200 lines of the billing service logs.","{""tool"": ""tail_logs"", ""args"": {""service"": ""billing"", ""lines"": 200}}"
"Tools: query_db(sql), restart_service(name), tail_logs(service, lines). Request: Why is the moon visible during the day?","{""tool"": ""none"", ""args"": {}}"
"Tools: create_jira(summary, project, priority), assign_jira(key, assignee), search_jira(jql). Request: Create a ticket in PLATFORM titled 'API rate-limit refactor', priority Medium.","{""tool"": ""create_jira"", ""args"": {""summary"": ""API rate-limit refactor"", ""project"": ""PLATFORM"", ""priority"": ""Medium""}}"
"Tools: create_jira(summary, project, priority), assign_jira(key, assignee), search_jira(jql). Request: Assign PLAT-1234 to dana.","{""tool"": ""assign_jira"", ""args"": {""key"": ""PLAT-1234"", ""assignee"": ""dana""}}"
"Tools: create_jira(summary, project, priority), assign_jira(key, assignee), search_jira(jql). Request: Find all open P0 bugs in the FRONTEND project.","{""tool"": ""search_jira"", ""args"": {""jql"": ""project = FRONTEND AND priority = P0 AND status != Done""}}"
"Tools: create_jira(summary, project, priority), assign_jira(key, assignee), search_jira(jql). Request: thx for the update","{""tool"": ""none"", ""args"": {}}"
"Tools: pause_deploy(service), resume_deploy(service), get_deploy_status(service). Request: Pause the catalog-service deploy — I see a regression.","{""tool"": ""pause_deploy"", ""args"": {""service"": ""catalog-service""}}"
"Tools: pause_deploy(service), resume_deploy(service), get_deploy_status(service). Request: What's the state of the orders-api rollout?","{""tool"": ""get_deploy_status"", ""args"": {""service"": ""orders-api""}}"
"Tools: pause_deploy(service), resume_deploy(service), get_deploy_status(service). Request: ok unpause checkout-service, all clear","{""tool"": ""resume_deploy"", ""args"": {""service"": ""checkout-service""}}"
"Tools: list_pods(namespace), describe_pod(namespace, name), scale_deployment(namespace, name, replicas). Request: List all pods in the production namespace.","{""tool"": ""list_pods"", ""args"": {""namespace"": ""production""}}"
"Tools: list_pods(namespace), describe_pod(namespace, name), scale_deployment(namespace, name, replicas). Request: Why is the worker-7b6 pod in CrashLoopBackOff? It's in the queue ns.","{""tool"": ""describe_pod"", ""args"": {""namespace"": ""queue"", ""name"": ""worker-7b6""}}"
"Tools: list_pods(namespace), describe_pod(namespace, name), scale_deployment(namespace, name, replicas). Request: Scale the api deployment in production to 6 replicas.","{""tool"": ""scale_deployment"", ""args"": {""namespace"": ""production"", ""name"": ""api"", ""replicas"": 6}}"
"Tools: get_user(user_id), suspend_user(user_id, reason), reactivate_user(user_id). Request: Suspend user 42118 — reported for abuse.","{""tool"": ""suspend_user"", ""args"": {""user_id"": 42118, ""reason"": ""reported for abuse""}}"
"Tools: get_user(user_id), suspend_user(user_id, reason), reactivate_user(user_id). Request: What's the email on user 99001?","{""tool"": ""get_user"", ""args"": {""user_id"": 99001}}"
"Tools: get_user(user_id), suspend_user(user_id, reason), reactivate_user(user_id). Request: Bring user 33772 back online.","{""tool"": ""reactivate_user"", ""args"": {""user_id"": 33772}}"
"Tools: post_slack(channel, message), open_pr(repo, title, body), close_pr(repo, number). Request: Post in #incidents: 'Mitigation deployed, monitoring.'","{""tool"": ""post_slack"", ""args"": {""channel"": ""#incidents"", ""message"": ""Mitigation deployed, monitoring.""}}"
"Tools: post_slack(channel, message), open_pr(repo, title, body), close_pr(repo, number). Request: Open a PR in acme/api titled 'Fix CORS for /v2/orders' with description 'Allowlist *.acme-customers.com on the orders route.'","{""tool"": ""open_pr"", ""args"": {""repo"": ""acme/api"", ""title"": ""Fix CORS for /v2/orders"", ""body"": ""Allowlist *.acme-customers.com on the orders route.""}}"
"Tools: post_slack(channel, message), open_pr(repo, title, body), close_pr(repo, number). Request: Close PR 4421 in acme/web.","{""tool"": ""close_pr"", ""args"": {""repo"": ""acme/web"", ""number"": 4421}}"
"Tools: search_docs(query). Request: Where do I find the SOC 2 report?","{""tool"": ""search_docs"", ""args"": {""query"": ""SOC 2 report""}}"
"Tools: search_docs(query). Request: Generate a poem about kubernetes.","{""tool"": ""none"", ""args"": {}}"
"Tools: get_invoice(invoice_id), email_invoice(invoice_id, email). Request: Email invoice INV-9921 to billing@acme.co.","{""tool"": ""email_invoice"", ""args"": {""invoice_id"": ""INV-9921"", ""email"": ""billing@acme.co""}}"
"Tools: get_invoice(invoice_id), email_invoice(invoice_id, email). Request: What's on invoice INV-3300?","{""tool"": ""get_invoice"", ""args"": {""invoice_id"": ""INV-3300""}}"
"Tools: get_invoice(invoice_id), email_invoice(invoice_id, email). Request: Can you remind me what year the company was founded?","{""tool"": ""none"", ""args"": {}}"
